ccaa,ccaa_nombre,anio,estado,filas,pct_concepto,n_conceptos,magnitud_disp,imp_sanidad,imp_educacion,imp_soberania,imp_direccion,imp_vivienda,imp_empleo,imp_idi,imp_dependencia,imp_discapacidad,imp_salud_mental,imp_diversidad,imp_turismo,imp_igualdad,total_extraido,gasto_social
bal,Baleares,2023,VERDE_PRAGM,150,75.3,13,si,2198416178.0,1245709578.0,68278986.0,910557711.0,98936363.0,145218055.0,43702835.0,202413664.0,23749730.0,115537986.0,35197165.0,180355214.0,12465652.0,7087165370.0,5280539117.0
bal,Baleares,2024,VERDE_PRAGM,145,75.2,13,si,2271828953.0,1343385180.0,90522325.0,967461100.0,59596523.0,20000465.0,38885077.0,200326339.0,26475654.0,66909910.0,33962173.0,253406214.0,12646735.0,7114247875.0,5385406648.0
bal,Baleares,2025,VERDE_PRAGM,141,74.5,13,si,2392009631.0,1421043777.0,71808431.0,939767000.0,90538370.0,139633328.0,37413350.0,225188836.0,31613998.0,64992256.0,39384262.0,208232117.0,13281457.0,6350108922.0,5674906813.0
bal,Baleares,2026,VERDE_PRAGM,148,76.4,13,si,2424124341.0,1400836886.0,65715277.0,1348004205.0,28701877.0,138730464.0,33781090.0,231857908.0,32039539.0,63313138.0,32987302.0,185626005.0,11338496.0,6442004233.0,5997056528.0
can,Canarias,2015,VERDE_PRAGM,139,65.5,12,si,2459743096.0,1505068806.0,55114206.0,385504779.0,42036852.0,90600439.0,82052180.0,96386589.0,45006031.0,0.0,33174407.0,47655904.0,9874659.0,5898901281.0,4852217948.0
can,Canarias,2016,VERDE_PRAGM,140,66.4,12,si,2495715117.0,1512161492.0,60478490.0,375105162.0,43289310.0,67197270.0,69970661.0,104208377.0,45291137.0,0.0,50717673.0,52724724.0,10347390.0,5937007350.0,4887206803.0
can,Canarias,2017,VERDE_PRAGM,141,65.2,12,si,2556566464.0,1554652062.0,66258575.0,434555556.0,46883133.0,64567875.0,50868847.0,118363914.0,47156440.0,0.0,58428671.0,52861263.0,11481185.0,6305887669.0,5062643985.0
can,Canarias,2018,VERDE_PRAGM,140,66.4,12,si,2739535209.0,1655264047.0,72187990.0,498201841.0,50437167.0,64810392.0,42445674.0,162215406.0,49690444.0,0.0,65214842.0,58797690.0,12663920.0,7000362900.0,5471464622.0
can,Canarias,2019,VERDE_PRAGM,142,66.9,13,si,2832487821.0,1724573632.0,81466630.0,557610535.0,71096636.0,84268994.0,48074715.0,209575354.0,62025238.0,300000.0,68438035.0,74724169.0,13736185.0,7511938075.0,5828377944.0
can,Canarias,2020,VERDE_PRAGM,144,66.7,13,si,2970350193.0,1843929720.0,91123442.0,575083623.0,82410761.0,85890300.0,54723072.0,218911465.0,65888272.0,300000.0,97385922.0,80111061.0,14757237.0,7698731854.0,6180865068.0
can,Canarias,2021,VERDE_PRAGM,141,66.7,13,si,3088168435.0,1942115290.0,97222642.0,583787037.0,109209002.0,85836504.0,47283119.0,220830538.0,72171796.0,300000.0,63865711.0,95382995.0,16375586.0,8044741195.0,6422548655.0
can,Canarias,2022,VERDE_PRAGM,135,65.2,12,si,3225421670.0,2091903913.0,122367315.0,597609592.0,123954064.0,91338493.0,58640520.0,238918494.0,78747890.0,0.0,89335332.0,104769217.0,18075245.0,8608863464.0,6841081745.0
can,Canarias,2023,VERDE_PRAGM,135,65.2,12,si,3575652999.0,2268413967.0,142858532.0,655176029.0,140842674.0,113622080.0,75998230.0,265498955.0,80288274.0,0.0,120444906.0,127704086.0,18538531.0,9701027711.0,7585039263.0
can,Canarias,2024,VERDE_PRAGM,140,65.0,12,si,4108181841.0,2363740548.0,118713832.0,767441894.0,122709442.0,93117329.0,95074319.0,305199316.0,79510153.0,0.0,120971153.0,131144302.0,19143575.0,10745715312.0,8324947704.0
can,Canarias,2025,VERDE_PRAGM,141,66.0,12,si,4308657056.0,2433340054.0,119247851.0,802339328.0,149243254.0,97655020.0,88664354.0,350955290.0,82280204.0,0.0,140728484.0,134487265.0,21245721.0,11108726476.0,8728843881.0
can,Canarias,2026,VERDE_PRAGM,143,65.7,12,si,4542045217.0,2600971304.0,130679861.0,865129963.0,171233086.0,96610923.0,79698924.0,412171718.0,86143008.0,0.0,150484706.0,154797203.0,21987509.0,11910123064.0,9311953422.0
cat,Cataluña,2015,VERDE_PRAGM,96,66.7,13,si,8258548090.72,5130679426.99,3428434583.49,9745712277.47,161709895.47,563980436.9,323171210.78,1440365937.92,9065264.0,55376487.82,201891282.46,74233946.16,34148317.7,32483085945.91,29427317157.88
cat,Cataluña,2016,VERDE_PRAGM,94,67.0,13,si,8531977179.82,5423136303.83,3547319083.71,9702222373.16,182028059.77,768481004.66,356673042.34,1482975719.45,9065264.0,74881966.22,209427233.44,85146541.27,40774484.74,33645404253.81,30414108256.41
cat,Cataluña,2017,VERDE_PRAGM,94,67.0,13,si,8616575864.15,5628219105.81,3837349914.35,9171381232.69,178147546.3,730980132.94,388801186.2,1491396034.11,9113720.06,123823424.12,218324063.04,96127946.32,48744285.34,33936974355.55,30538984455.43
cat,Cataluña,2018,VERDE_PRAGM,94,67.0,13,si,8616575864.15,5628219105.81,3837349914.35,9171381232.69,178147546.3,730980132.94,388801186.2,1491396034.11,9113720.06,123823424.12,218324063.04,96127946.32,48744285.34,33936974355.55,30538984455.43
cat,Cataluña,2019,VERDE_PRAGM,97,66.0,13,si,9134162335.42,6195003669.09,4066200004.78,11302965894.35,189017634.5,898869557.2,443006886.47,1531771266.95,11417511.15,130893303.58,281487904.42,111766211.43,46865067.18,38081664677.92,34343427246.52
cat,Cataluña,2020,VERDE_PRAGM,97,66.0,13,si,9494241602.78,6628901871.22,4210510791.34,13934023166.98,242922701.0,931988864.98,459593954.72,1594179039.73,13092933.25,142380604.63,363758901.09,122419934.93,32737198.6,42073275535.43,38170751565.25
cat,Cataluña,2021,VERDE_PRAGM,97,66.0,13,si,9494241602.78,6628901871.22,4210510791.34,13934023166.98,242922701.0,931988864.98,459593954.72,1594179039.73,13092933.25,142380604.63,363758901.09,122419934.93,32737198.6,42073275535.43,38170751565.25
cat,Cataluña,2022,VERDE_PRAGM,99,64.6,13,si,10354756810.75,7687714793.25,4954802029.44,15752603804.68,657626712.74,895917646.46,608782713.62,1749979172.98,11890551.84,218468457.23,790488992.32,95355899.94,40264035.98,48752977121.38,43818651621.23
cat,Cataluña,2023,VERDE_PRAGM,99,64.6,13,si,11335301941.0,8023063295.99,5235440412.13,16291925790.4,502086405.37,962454841.41,660263757.82,1969629181.49,16089099.51,205499066.29,882892513.8,126236675.11,46341042.1,51526282130.89,46257224022.42
cat,Cataluña,2024,VERDE_PRAGM,99,64.6,13,si,11747006548.59,8389127300.59,5435604695.37,15081172160.48,436402658.31,909960745.67,681107521.32,2163059090.84,16089948.35,212076042.9,899088040.2,119952907.54,52663228.99,51537280006.45,46143310889.15
cat,Cataluña,2025,VERDE_PRAGM,99,64.6,13,si,11747006548.59,8389127300.59,5435604695.37,15081172160.48,436402658.31,909960745.67,681107521.32,2163059090.84,16089948.35,212076042.9,899088040.2,119952907.54,52663228.99,51537280006.45,46143310889.15
cat,Cataluña,2026,VERDE_PRAGM,101,63.4,13,si,13004607194.14,9270136188.03,6860043304.3,15103291832.92,527641332.01,941924973.15,844523682.99,2484712971.42,14706385.94,267551321.1,943164289.77,140733040.46,91983889.33,56815490626.1,50495020405.56
clm,Cast.-La Mancha,2015,VERDE_PRAGM,99,62.6,12,si,2412822220.0,1515797070.0,1193769760.0,112600040.0,48559460.0,53549430.0,21456800.0,389383670.0,99388360.0,0.0,40315940.0,10119350.0,18606850.0,6944819950.0,5916368950.0
clm,Cast.-La Mancha,2016,VERDE_PRAGM,99,64.6,12,si,2630611680.0,1649848580.0,1227825760.0,99227680.0,42983640.0,66476340.0,22786400.0,381779990.0,101107350.0,0.0,42955100.0,10289070.0,18860410.0,7114214010.0,6294752000.0
clm,Cast.-La Mancha,2017,VERDE_PRAGM,98,65.3,12,si,2724969590.0,1718009180.0,1220888050.0,103519940.0,45406150.0,76282560.0,23570030.0,398834370.0,104891360.0,0.0,44379180.0,10842640.0,20737510.0,7406197490.0,6492330560.0
clm,Cast.-La Mancha,2018,VERDE_PRAGM,98,65.3,12,si,2809202270.0,1801375270.0,1200959330.0,105570320.0,49731840.0,78559290.0,24105210.0,406118870.0,108328000.0,0.0,45748920.0,15306490.0,23443380.0,7609668980.0,6668449190.0
clm,Cast.-La Mancha,2019,VERDE_PRAGM,99,64.6,12,si,2809202270.0,1801375270.0,1200959330.0,105570320.0,49731840.0,78559290.0,24105210.0,406118870.0,108328000.0,0.0,45748920.0,15306490.0,23443380.0,7609668980.0,6668449190.0
clm,Cast.-La Mancha,2020,VERDE_PRAGM,100,65.0,12,si,3040499320.0,1947035400.0,1201079790.0,123949130.0,59397780.0,76325520.0,27037220.0,443199000.0,116345440.0,0.0,48690740.0,16500020.0,28463640.0,8093151360.0,7128523000.0
clm,Cast.-La Mancha,2021,VERDE_PRAGM,101,64.4,12,si,3717533530.0,2231740420.0,1195893060.0,135527730.0,110840190.0,77019810.0,38493510.0,512425730.0,125225230.0,0.0,49800110.0,37795770.0,33621760.0,9667089240.0,8265916850.0
clm,Cast.-La Mancha,2022,VERDE_PRAGM,111,64.9,12,si,3673248580.0,2354316640.0,1189688600.0,190923240.0,106598350.0,82841930.0,39521180.0,530612120.0,137281350.0,0.0,60103810.0,104299320.0,50879140.0,12260991620.0,8520314260.0
clm,Cast.-La Mancha,2023,VERDE_PRAGM,114,64.0,12,si,3675941730.0,2424973030.0,1188177060.0,204926320.0,223490620.0,117383250.0,42620650.0,525429910.0,150707730.0,0.0,66428950.0,109416570.0,51854770.0,12418772630.0,8781350590.0
clm,Cast.-La Mancha,2024,VERDE_PRAGM,114,64.9,12,si,3909573620.0,2473722660.0,1205982310.0,204369330.0,232403540.0,121452570.0,38668490.0,525324890.0,158259930.0,0.0,68660820.0,122274720.0,52830080.0,12473342760.0,9113522960.0
clm,Cast.-La Mancha,2025,VERDE_PRAGM,113,65.5,12,si,3834163140.0,2530782640.0,1159814830.0,212279490.0,218226660.0,124336360.0,44929700.0,512692410.0,156848960.0,0.0,66230510.0,108190760.0,50011390.0,12716180030.0,9018506850.0
clm,Cast.-La Mancha,2026,VERDE_PRAGM,113,65.5,12,si,4126166360.0,2633020170.0,1136287490.0,222255350.0,270553240.0,121712450.0,50872500.0,536482460.0,159133450.0,0.0,74755820.0,89966570.0,53177790.0,12903391310.0,9474383650.0
cnt,Cantabria,2015,VERDE_PRAGM,19,42.1,8,si,791173926.0,520417665.0,21049003.0,49785633.0,21462880.0,93256835.0,24662333.0,137060482.0,0.0,0.0,10838358.0,12882424.0,1517729.0,2514329636.0,1684107268.0
cnt,Cantabria,2016,VERDE_PRAGM,19,36.8,7,si,807838982.0,546242340.0,19203374.0,51094384.0,23839088.0,93691369.0,14337798.0,137899656.0,0.0,0.0,11437096.0,14829474.0,1706773.0,2479370027.0,1722120334.0
cnt,Cantabria,2017,VERDE_PRAGM,19,42.1,8,si,827085351.0,562272196.0,20301447.0,50718844.0,24124504.0,91691369.0,19000371.0,132529538.0,0.0,0.0,11881158.0,21292996.0,1765645.0,2617256227.0,1762663419.0
cnt,Cantabria,2018,VERDE_PRAGM,84,53.6,11,si,853389380.0,587781378.0,21045344.0,51893111.0,25223654.0,96234032.0,19497531.0,133157316.0,0.0,0.0,12600670.0,23477508.0,1855723.0,2741699514.0,1826155647.0
cnt,Cantabria,2019,VERDE_PRAGM,85,54.1,11,si,876879573.0,612600404.0,21241225.0,57297380.0,22730397.0,98443330.0,20481355.0,135272079.0,0.0,0.0,14629432.0,23631802.0,3413851.0,2867936284.0,1886620828.0
cnt,Cantabria,2020,VERDE_PRAGM,85,50.6,11,si,923332337.0,619193625.0,25443127.0,54689807.0,23909703.0,98443330.0,42743819.0,142736558.0,0.0,0.0,14529632.0,23569169.0,3448740.0,2902807884.0,1972039847.0
cnt,Cantabria,2021,VERDE_PRAGM,85,50.6,11,si,997231051.0,654698991.0,28317313.0,58076855.0,24815672.0,100056330.0,42967168.0,149100265.0,0.0,0.0,14412201.0,26230083.0,3493880.0,3094640427.0,2099399809.0
cnt,Cantabria,2022,VERDE_PRAGM,91,51.6,12,si,1007651799.0,655858724.0,28150707.0,59591474.0,26705133.0,100243599.0,49656475.0,153165201.0,30000.0,0.0,14192435.0,26907677.0,3519974.0,3360605729.0,2125673198.0
cnt,Cantabria,2023,VERDE_PRAGM,91,51.6,12,si,1080659864.0,691376763.0,17829646.0,58355881.0,30474540.0,103564000.0,51590872.0,169095783.0,30000.0,0.0,15266220.0,32559773.0,7325860.0,3524793312.0,2258129202.0
